"state_abbr","state_fips","county_fips","county_name","tract_code","stcotr_fips","stpl_fips","city_name","metric_name","metric_number","group_name","group_number","num","denom","est","lci","uci","data_yr_type","geo_level","date_export","version","Suggested Citation"
WI,55,015,Calumet County,020303,55015020303,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,"Department of Population Health, NYU Langone Health. City Health Dashboard. https://www.cityhealthdashboard.com/. Accessed [INSERT DATE OF ACCESS]."
WI,55,015,Calumet County,020304,55015020304,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,015,Calumet County,020800,55015020800,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010100,55087010100,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010200,55087010200,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010300,55087010300,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010500,55087010500,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010601,55087010601,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010602,55087010602,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010700,55087010700,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010800,55087010800,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,010900,55087010900,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011000,55087011000,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011101,55087011101,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011102,55087011102,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011200,55087011200,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011300,55087011300,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011400,55087011400,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011501,55087011501,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011502,55087011502,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,011600,55087011600,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,012503,55087012503,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,7.9,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,012504,55087012504,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,012505,55087012505,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,7.9,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,012901,55087012901,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,7.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,012902,55087012902,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,7.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,087,Outagamie County,013300,55087013300,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8,-999,-999,2016,tract,2021-02-24,11,
WI,55,139,Winnebago County,002500,55139002500,5502375,Appleton,Air pollution - particulate matter,2,total population,1,-999,-999,8.1,-999,-999,2016,tract,2021-02-24,11,
WI,55,017,Chippewa County,010100,55017010100,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,017,Chippewa County,010400,55017010400,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.7,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000301,55035000301,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.7,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000302,55035000302,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.7,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000400,55035000400,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000501,55035000501,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000502,55035000502,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000600,55035000600,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000700,55035000700,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000801,55035000801,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000802,55035000802,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000803,55035000803,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,000900,55035000900,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,001101,55035001101,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,001200,55035001200,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,001300,55035001300,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,001400,55035001400,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,001500,55035001500,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,035,Eau Claire County,001700,55035001700,5522300,Eau Claire,Air pollution - particulate matter,2,total population,1,-999,-999,6.8,-999,-999,2016,tract,2021-02-24,11,
WI,55,009,Brown County,000100,55009000100,5531000,Green Bay,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,2021-02-24,11,
WI,55,009,Brown County,000200,55009000200,5531000,Green Bay,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,2021-02-24,11,
WI,55,009,Brown County,000302,55009000302,5531000,Green Bay,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,2021-02-24,11,
